DATE,PS_LEVEL,PS_INNOV,PS_VWF
20100930,-0.0340572,0.07593528,0.0230892
20101029,-0.04435775,-0.05153395,0.02415353
20101130,-0.00988922,0.00468108,0.02166852
20101231,0.0214359,0.06985994,0.0225676
20110131,-0.00681494,0.00026925,0.00945824
20110228,-0.0112423,0.00365403,0.0066221
20110331,-0.03221718,-0.01487546,0.01325334
20110429,0.00999078,0.02062521,-0.03188758
20110531,0.01788963,0.02273652,-0.01110523
20110630,-0.00844022,0.02605184,-0.00975333
20110729,-0.01326443,0.0155885,-0.00217116
20110831,-0.050824,-0.04808479,-0.04472679
20110930,0.01187645,0.02887189,-0.05202978
20111031,-0.04259409,0.02602256,0.08623859
20111130,-0.09586246,-0.02583975,0.05019717
20111230,0.01039795,0.05332706,-0.03419218
20120131,0.01961079,0.05396954,-0.02039698
20120229,0.03185795,0.00906839,0.01835836
20120330,-0.01879345,-0.00929355,-0.06721684
